label,entity
E.T. the Extra-Terrestrial,http://www.wikidata.org/entity/Q11621
box office,http://www.wikidata.org/prop/direct/P2142
Peaceful Warrior,http://www.wikidata.org/entity/Q603545
God Help the Girl,http://www.wikidata.org/entity/Q16911843
publication date,http://www.wikidata.org/prop/direct/P577
Finding Nemo,http://www.wikidata.org/entity/Q132863
The Browning Version,http://www.wikidata.org/entity/Q1628022
The Party's Just Beginning,http://www.wikidata.org/entity/Q48313910
The Princess and the Frog,http://www.wikidata.org/entity/Q171300
The Twilight Saga: Eclipse,http://www.wikidata.org/entity/Q217010
The Candidate,http://www.wikidata.org/entity/Q4993462
Nightjohn,http://www.wikidata.org/entity/Q7033842
station building,http://www.wikidata.org/entity/Q1339195
indirectSubclassOf,http://ddis.ch/atai/indirectSubclassOf
film organization,http://www.wikidata.org/entity/Q104649845
fictional princess,http://www.wikidata.org/entity/Q61928601
comics,http://www.wikidata.org/entity/Q1004
children's book,http://www.wikidata.org/entity/Q8275050
literary pentalogy,http://www.wikidata.org/entity/Q17710986
supervillain team,http://www.wikidata.org/entity/Q16101952
neighbourhood of Helsinki,http://www.wikidata.org/entity/Q15715406
disputed territory,http://www.wikidata.org/entity/Q15239622
Silver Bear,http://www.wikidata.org/entity/Q708135
Kaboom,http://www.wikidata.org/entity/Q1720855
Like Crazy,http://www.wikidata.org/entity/Q598752
In the Line of Fire,http://www.wikidata.org/entity/Q427386
Scent of a Woman,http://www.wikidata.org/entity/Q321561
Tom Meets Zizou,http://www.wikidata.org/entity/Q1410031
Guardians of the Galaxy Vol. 2,http://www.wikidata.org/entity/Q20001199
Kung Fu Panda 3,http://www.wikidata.org/entity/Q15055043
Magic Carpet Ride,http://www.wikidata.org/entity/Q639070
cast member,http://www.wikidata.org/prop/direct/P161
"Sex, Death and Bowling",http://www.wikidata.org/entity/Q23999890
RoboCop 3,http://www.wikidata.org/entity/Q841233
Behind the Candelabra,http://www.wikidata.org/entity/Q2893887
The Girl in the Spider's Web,http://www.wikidata.org/entity/Q19803136
Martial Arts of Shaolin,http://www.wikidata.org/entity/Q1039395
Gandhi,http://www.wikidata.org/entity/Q202211
country of origin,http://www.wikidata.org/prop/direct/P495
,http://www.wikidata.org/entity/Q28974159
distributed by,http://www.wikidata.org/prop/direct/P750
The Adventures of Tom Sawyer,http://www.wikidata.org/entity/Q326914
genre,http://www.wikidata.org/prop/direct/P136
Bloody Mama,http://www.wikidata.org/entity/Q885281
Being with Juli Ashton,http://www.wikidata.org/entity/Q814781
,http://www.wikidata.org/prop/direct/.P344
Lillian Lehman,http://www.wikidata.org/entity/Q6548158
Conan the Barbarian,http://www.wikidata.org/entity/Q1123629
voice actor,http://www.wikidata.org/prop/direct/P725
Les Misérables,http://www.wikidata.org/entity/Q1780602
main subject,http://www.wikidata.org/prop/direct/P921
Eskimo,http://www.wikidata.org/entity/Q610633
production designer,http://www.wikidata.org/prop/direct/P2554
A Happy Event,http://www.wikidata.org/entity/Q2188914
Free Willy 3: The Rescue,http://www.wikidata.org/entity/Q1032889
screenwriter,http://www.wikidata.org/prop/direct/P58
Iron Man 3,http://www.wikidata.org/entity/Q209538
JMK film rating,http://www.wikidata.org/prop/direct/P3650
Top Gun: Maverick,http://www.wikidata.org/entity/Q31202708
film crew member,http://www.wikidata.org/prop/direct/P3092
Normal,http://www.wikidata.org/entity/Q2576243
original language of film or TV show,http://www.wikidata.org/prop/direct/P364
Delta Farce,http://www.wikidata.org/entity/Q4335275
,http://www.wikidata.org/prop/direct/P520
Medea,http://www.wikidata.org/entity/Q931557
The Hell of '63,http://www.wikidata.org/entity/Q2235250
Naruto the Movie: Guardians of the Crescent Moon Kingdom,http://www.wikidata.org/entity/Q696646
art director,http://www.wikidata.org/prop/direct/P3174
Masaichi Nagata,http://www.wikidata.org/entity/Q6782400
allegiance,http://www.wikidata.org/prop/direct/P945
Günter Grass,http://www.wikidata.org/entity/Q6538
place of burial,http://www.wikidata.org/prop/direct/P119
Mandarin Chinese,http://www.wikidata.org/entity/Q9192
location,http://www.wikidata.org/prop/direct/P276
Miranda Frigon,http://www.wikidata.org/entity/Q10623856
place of death,http://www.wikidata.org/prop/direct/P20
X-Men: First Class,http://www.wikidata.org/entity/Q223596
executive producer,http://www.wikidata.org/prop/direct/P1431
A Night at the Opera,http://www.wikidata.org/entity/Q943992
Mulan,http://www.wikidata.org/entity/Q1893555
production company,http://www.wikidata.org/prop/direct/P272
Cho Geun-hyeon,http://www.wikidata.org/entity/Q21060270
country of citizenship,http://www.wikidata.org/prop/direct/P27
Nat Pendleton,http://www.wikidata.org/entity/Q1288004
"languages spoken, written or signed",http://www.wikidata.org/prop/direct/P1412
